"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
" 0.000000e+00",4.04755389886013,0.488,0.046," 0.000000e+00","14","Cacng4"
" 0.000000e+00",5.2228319706395,0.447,0.015," 0.000000e+00","14","Sema3d"
" 0.000000e+00",4.86969809887799,0.45,0.023," 0.000000e+00","14","Rgcc"
" 0.000000e+00",4.06579090866847,0.445,0.031," 0.000000e+00","14","Cyp2j9"
" 0.000000e+00",4.7529937775907,0.435,0.021," 0.000000e+00","14","Plpp4"
" 0.000000e+00",4.32547076218174,0.385,0.015," 0.000000e+00","14","Cp"
" 0.000000e+00",4.12724656956883,0.385,0.024," 0.000000e+00","14","Cpq"
" 0.000000e+00",4.32503836444408,0.383,0.023," 0.000000e+00","14","Tmem176a"
" 0.000000e+00",7.30003788749942,0.361,0.002," 0.000000e+00","14","A930009A15Rik"
" 0.000000e+00",4.81998426969432,0.364,0.013," 0.000000e+00","14","Caskin2"
" 0.000000e+00",4.88097364182924,0.366,0.016," 0.000000e+00","14","Scrg1"
" 0.000000e+00",5.58357775305996,0.352,0.011," 0.000000e+00","14","Susd5"
" 0.000000e+00",4.71515664477152,0.352,0.017," 0.000000e+00","14","Mfsd2a"
" 0.000000e+00",5.10044550196006,0.337,0.014," 0.000000e+00","14","Mmp15"
" 0.000000e+00",5.04802474781744,0.328,0.012," 0.000000e+00","14","Tmem100"
" 0.000000e+00",4.60213597508358,0.328,0.018," 0.000000e+00","14","Traf4"
" 0.000000e+00",6.60091118805566,0.287,0.004," 0.000000e+00","14","Afap1l2"
" 0.000000e+00",6.26580985272838,0.27,0.005," 0.000000e+00","14","Rlbp1"
" 0.000000e+00",5.12682302845874,0.266,0.009," 0.000000e+00","14","5730559C18Rik"
" 0.000000e+00",6.98272070908582,0.254,0.002," 0.000000e+00","14","Tmem255b"
"2.186381e-310",3.91790872977254,0.361,0.025,"4.184951e-306","14","Zcchc24"
"1.151722e-304",3.52097601522883,0.471,0.046,"2.204512e-300","14","Itpr2"
"3.623860e-302",2.70175658854791,0.73,0.115,"6.936431e-298","14","Nxph1"
"2.160497e-294",2.66076973080407,0.89,0.2,"4.135408e-290","14","Luzp2"
"3.599170e-293",4.20804236065281,0.294,0.017,"6.889171e-289","14","Prrx1"
"7.199363e-284",3.27511291417827,0.967,0.4,"1.378030e-279","14","Tnr"
"1.096639e-279",3.83463976134841,0.347,0.026,"2.099077e-275","14","Smoc1"
"1.234761e-276",3.88738256250322,0.517,0.065,"2.363456e-272","14","Myt1"
"2.970957e-273",1.40323651661072,0.756,0.129,"5.686708e-269","14","Adarb2"
"2.481361e-272",3.21378702840982,0.849,0.23,"4.749574e-268","14","Xylt1"
"1.809805e-271",3.13215867164707,0.983,0.457,"3.464148e-267","14","Cspg5"
"2.298082e-270",3.72384639699968,0.493,0.059,"4.398759e-266","14","Qpct"
"6.166708e-264",3.1533750615273,0.88,0.277,"1.180370e-259","14","Epn2"
"1.583871e-260",2.69436052775033,0.653,0.103,"3.031688e-256","14","Pllp"
"4.228800e-259",3.53670960621085,0.447,0.049,"8.094346e-255","14","Cyp2j6"
"5.456996e-255",3.78519241426367,0.45,0.052,"1.044524e-250","14","Chadl"
"3.182228e-252",2.61899081816728,0.739,0.143,"6.091102e-248","14","Cd9"
"5.595482e-249",3.78404955613949,0.402,0.041,"1.071031e-244","14","Stk32a"
"1.385905e-245",3.8608771249554,0.354,0.032,"2.652760e-241","14","Adam12"
"1.606913e-228",3.97823260826805,0.344,0.033,"3.075792e-224","14","Ccnd1"
"1.191585e-226",2.05333258740557,0.938,0.301,"2.280812e-222","14","Apoe"
"1.459225e-226",4.09065082337897,0.258,0.018,"2.793103e-222","14","Ntn1"
"2.093808e-222",3.4550333903192,0.323,0.029,"4.007759e-218","14","Notch1"
"3.335772e-222",2.21573119594682,0.66,0.125,"6.385001e-218","14","Nnat"
"1.390820e-221",3.80716802411503,0.289,0.023,"2.662169e-217","14","Ostf1"
"6.576250e-209",3.46351348028354,0.431,0.057,"1.258760e-204","14","Gm2a"
"3.532894e-205",3.1926057442394,0.541,0.094,"6.762312e-201","14","Mtss1l"
"1.205833e-204",3.03492145170978,0.356,0.038,"2.308085e-200","14","Tril"
"2.353188e-204",2.84247737530822,0.691,0.162,"4.504238e-200","14","Sulf2"
"5.629072e-204",3.12077081175531,0.385,0.046,"1.077461e-199","14","Hes5"
"2.710972e-200",3.33383531268124,0.402,0.051,"5.189071e-196","14","Nckap5"
"5.975754e-197",3.04831697867646,0.572,0.111,"1.143819e-192","14","Ppfibp1"
"6.565847e-193",3.5661749033017,0.347,0.039,"1.256769e-188","14","Pcdhgc3"
"5.393748e-187",3.04729976583265,0.407,0.055,"1.032417e-182","14","Jam2"
"2.499352e-178",3.27706089692965,0.34,0.04,"4.784009e-174","14","Orai1"
"4.647630e-175",3.36650772659043,0.318,0.036,"8.896028e-171","14","B3gat2"
"2.394515e-174",3.01159944285066,0.416,0.062,"4.583341e-170","14","Svil"
"2.796791e-170",3.43974008825454,0.383,0.055,"5.353337e-166","14","Ampd3"
"1.393861e-169",3.77110275934355,0.268,0.026,"2.667989e-165","14","Cdo1"
"2.248820e-169",2.62957731165043,0.608,0.139,"4.304466e-165","14","Spon1"
